date,product,region,units,price,revenue
2024-01-05,Laptop,North,12,899.00,10788.00
2024-01-06,Phone,South,45,599.00,26955.00
2024-01-07,Tablet,East,28,349.00,9772.00
2024-01-08,Laptop,West,9,899.00,8091.00
2024-01-09,Phone,North,52,599.00,31148.00
2024-01-10,Monitor,East,15,249.00,3735.00
2024-01-11,Tablet,South,33,349.00,11517.00
2024-01-12,Laptop,East,11,899.00,9889.00
2024-01-13,Phone,West,61,599.00,36539.00
2024-01-14,Monitor,North,8,249.00,1992.00
2024-01-15,Tablet,West,19,349.00,6631.00
2024-01-16,Laptop,South,14,899.00,12586.00
2024-01-17,Phone,East,47,599.00,28153.00
2024-01-18,Monitor,South,12,249.00,2988.00
2024-01-19,Tablet,North,25,349.00,8725.00
2024-01-20,Laptop,West,7,899.00,6293.00
2024-01-21,Phone,South,58,599.00,34742.00
2024-01-22,Monitor,East,10,249.00,2490.00
2024-01-23,Tablet,East,31,349.00,10819.00
2024-01-24,Laptop,North,13,899.00,11687.00
